run,design,feature_set,model,n,base_rate,auc,brier,auc_ci_low,auc_ci_high,operating_point,threshold,accuracy,precision,recall,f1,specificity,type_i_error,type_ii_error,power,selection_rate,cost_per_defendant,tp,fp,tn,fn
X1+X2_to_X3,partition,race_blind,COMPAS tool,1235,0.45506072874493925,0.6583603454019555,0.3368421052631579,0.6310789441302609,0.6844627740076293,0.5,0.5,0.6631578947368421,0.6367041198501873,0.604982206405694,0.6204379562043796,0.711738484398217,0.28826151560178304,0.39501779359430605,0.604982206405694,0.43238866396761133,9310.931174089068,340,194,479,222
X1+X2_to_X3,partition,race_blind,COMPAS tool,1235,0.45506072874493925,0.6583603454019555,0.3368421052631579,0.6310789441302609,0.6844627740076293,break_even,0.2523364485981308,0.6631578947368421,0.6367041198501873,0.604982206405694,0.6204379562043796,0.711738484398217,0.28826151560178304,0.39501779359430605,0.604982206405694,0.43238866396761133,9310.931174089068,340,194,479,222
X1_to_X3,partition,race_blind,TabPFN,1235,0.45506072874493925,0.7327655951732561,0.2071740685965332,0.7030549927691285,0.7594863175975242,0.5,0.5,0.6890688259109312,0.6918103448275862,0.5711743772241993,0.6257309941520469,0.787518573551263,0.212481426448737,0.4288256227758007,0.5711743772241993,0.3757085020242915,9368.825910931175,321,143,530,241
X1_to_X3,partition,race_blind,TabPFN,1235,0.45506072874493925,0.7327655951732561,0.2071740685965332,0.7030549927691285,0.7594863175975242,break_even,0.2523364485981308,0.5805668016194332,0.523454157782516,0.8736654804270463,0.6546666666666667,0.33580980683506684,0.6641901931649331,0.12633451957295375,0.8736654804270463,0.7595141700404858,7185.82995951417,491,447,226,71
X1_to_X3,partition,race_blind,COMPAS tool,1235,0.45506072874493925,0.6583603454019555,0.3368421052631579,0.6310789441302609,0.6844627740076293,0.5,0.5,0.6631578947368421,0.6367041198501873,0.604982206405694,0.6204379562043796,0.711738484398217,0.28826151560178304,0.39501779359430605,0.604982206405694,0.43238866396761133,9310.931174089068,340,194,479,222
X1_to_X3,partition,race_blind,COMPAS tool,1235,0.45506072874493925,0.6583603454019555,0.3368421052631579,0.6310789441302609,0.6844627740076293,break_even,0.2523364485981308,0.6631578947368421,0.6367041198501873,0.604982206405694,0.6204379562043796,0.711738484398217,0.28826151560178304,0.39501779359430605,0.604982206405694,0.43238866396761133,9310.931174089068,340,194,479,222
X2_to_X3,partition,race_blind,TabPFN,1235,0.45506072874493925,0.732776170860808,0.20718177564464094,0.7030941689274472,0.7608195177095062,0.5,0.5,0.6817813765182186,0.6591337099811676,0.6227758007117438,0.6404391582799634,0.7310549777117384,0.2689450222882615,0.37722419928825623,0.6227758007117438,0.42995951417004047,8844.939271255062,350,181,492,212
X2_to_X3,partition,race_blind,TabPFN,1235,0.45506072874493925,0.732776170860808,0.20718177564464094,0.7030941689274472,0.7608195177095062,break_even,0.2523364485981308,0.5700404858299595,0.5160955347871236,0.8843416370106761,0.6518032786885246,0.3075780089153046,0.6924219910846954,0.11565836298932385,0.8843416370106761,0.7797570850202429,7199.19028340081,497,466,207,65
X2_to_X3,partition,race_blind,COMPAS tool,1235,0.45506072874493925,0.6583603454019555,0.3368421052631579,0.6310789441302609,0.6844627740076293,0.5,0.5,0.6631578947368421,0.6367041198501873,0.604982206405694,0.6204379562043796,0.711738484398217,0.28826151560178304,0.39501779359430605,0.604982206405694,0.43238866396761133,9310.931174089068,340,194,479,222
X2_to_X3,partition,race_blind,COMPAS tool,1235,0.45506072874493925,0.6583603454019555,0.3368421052631579,0.6310789441302609,0.6844627740076293,break_even,0.2523364485981308,0.6631578947368421,0.6367041198501873,0.604982206405694,0.6204379562043796,0.711738484398217,0.28826151560178304,0.39501779359430605,0.604982206405694,0.43238866396761133,9310.931174089068,340,194,479,222
temporal_1,temporal,race_aware,TabPFN,1138,0.3189806678383128,0.702751266328979,0.19438337902936714,0.6716106933069013,0.7339481495625607,0.5,0.5,0.6906854130052724,0.526829268292683,0.2975206611570248,0.3802816901408451,0.8748387096774194,0.12516129032258064,0.7024793388429752,0.2975206611570248,0.18014059753954306,10113.796133567663,108,97,678,255
temporal_1,temporal,race_aware,TabPFN,1138,0.3189806678383128,0.702751266328979,0.19438337902936714,0.6716106933069013,0.7339481495625607,break_even,0.2523364485981308,0.6045694200351494,0.4349775784753363,0.8016528925619835,0.563953488372093,0.512258064516129,0.48774193548387096,0.19834710743801653,0.8016528925619835,0.5878734622144113,7014.93848857645,291,378,397,72
temporal_1,temporal,race_aware,COMPAS tool,1138,0.3189806678383128,0.6244432595752245,0.36291739894551844,0.5963060015938554,0.6568053020922873,0.5,0.5,0.6370826010544816,0.4476987447698745,0.5895316804407713,0.5089179548156956,0.6593548387096774,0.3406451612903226,0.41046831955922863,0.5895316804407713,0.4200351493848858,8369.068541300527,214,264,511,149
temporal_1,temporal,race_aware,COMPAS tool,1138,0.3189806678383128,0.6244432595752245,0.36291739894551844,0.5963060015938554,0.6568053020922873,break_even,0.2523364485981308,0.6370826010544816,0.4476987447698745,0.5895316804407713,0.5089179548156956,0.6593548387096774,0.3406451612903226,0.41046831955922863,0.5895316804407713,0.4200351493848858,8369.068541300527,214,264,511,149
temporal_2,temporal,race_aware,TabPFN,1706,0.32590855803048063,0.7016054113231154,0.19566611033819006,0.6763828189966311,0.7281350502834621,0.5,0.5,0.7022274325908558,0.5863309352517986,0.2931654676258993,0.39088729016786566,0.9,0.1,0.7068345323741008,0.2931654676258993,0.16295427901524032,10124.560375146542,163,115,1035,393
temporal_2,temporal,race_aware,TabPFN,1706,0.32590855803048063,0.7016054113231154,0.19566611033819006,0.6763828189966311,0.7281350502834621,break_even,0.2523364485981308,0.6131301289566237,0.4443254817987152,0.7464028776978417,0.5570469798657718,0.548695652173913,0.45130434782608697,0.25359712230215825,0.7464028776978417,0.5474794841735052,7412.95427901524,415,519,631,141
temporal_2,temporal,race_aware,COMPAS tool,1706,0.32590855803048063,0.6364654363465749,0.34232121922626024,0.6120957314330778,0.662237314364616,0.5,0.5,0.6576787807737398,0.47904191616766467,0.5755395683453237,0.522875816993464,0.697391304347826,0.3026086956521739,0.4244604316546763,0.5755395683453237,0.39155920281359907,8287.221570926144,320,348,802,236
temporal_2,temporal,race_aware,COMPAS tool,1706,0.32590855803048063,0.6364654363465749,0.34232121922626024,0.6120957314330778,0.662237314364616,break_even,0.2523364485981308,0.6576787807737398,0.47904191616766467,0.5755395683453237,0.522875816993464,0.697391304347826,0.3026086956521739,0.4244604316546763,0.5755395683453237,0.39155920281359907,8287.221570926144,320,348,802,236
temporal_1,temporal,race_blind,TabPFN,1138,0.3189806678383128,0.7037447791699992,0.19396270506546867,0.6720070338132215,0.7352564601834799,0.5,0.5,0.7003514938488576,0.5509259259259259,0.3278236914600551,0.4110535405872193,0.8748387096774194,0.12516129032258064,0.6721763085399449,0.3278236914600551,0.18980667838312829,9727.152899824254,119,97,678,244
temporal_1,temporal,race_blind,TabPFN,1138,0.3189806678383128,0.7037447791699992,0.19396270506546867,0.6720070338132215,0.7352564601834799,break_even,0.2523364485981308,0.6107205623901582,0.4382716049382716,0.7823691460055097,0.5618199802176063,0.5303225806451612,0.4696774193548387,0.21763085399449036,0.7823691460055097,0.5694200351493849,7094.903339191565,284,364,411,79
temporal_1,temporal,race_blind,COMPAS tool,1138,0.3189806678383128,0.6244432595752245,0.36291739894551844,0.5963060015938554,0.6568053020922873,0.5,0.5,0.6370826010544816,0.4476987447698745,0.5895316804407713,0.5089179548156956,0.6593548387096774,0.3406451612903226,0.41046831955922863,0.5895316804407713,0.4200351493848858,8369.068541300527,214,264,511,149
temporal_1,temporal,race_blind,COMPAS tool,1138,0.3189806678383128,0.6244432595752245,0.36291739894551844,0.5963060015938554,0.6568053020922873,break_even,0.2523364485981308,0.6370826010544816,0.4476987447698745,0.5895316804407713,0.5089179548156956,0.6593548387096774,0.3406451612903226,0.41046831955922863,0.5895316804407713,0.4200351493848858,8369.068541300527,214,264,511,149
temporal_2,temporal,race_blind,TabPFN,1706,0.32590855803048063,0.6999194557397561,0.19552783592199266,0.674508302345881,0.7262247602766959,0.5,0.5,0.7004689331770223,0.5800711743772242,0.2931654676258993,0.3894862604540024,0.8973913043478261,0.10260869565217391,0.7068345323741008,0.2931654676258993,0.16471277842907386,10148.300117233293,163,118,1032,393
temporal_2,temporal,race_blind,TabPFN,1706,0.32590855803048063,0.6999194557397561,0.19552783592199266,0.674508302345881,0.7262247602766959,break_even,0.2523364485981308,0.6207502930832356,0.4498346196251378,0.7338129496402878,0.557758031442242,0.5660869565217391,0.4339130434782609,0.26618705035971224,0.7338129496402878,0.5316529894490035,7418.815943728019,408,499,651,148
temporal_2,temporal,race_blind,COMPAS tool,1706,0.32590855803048063,0.6364654363465749,0.34232121922626024,0.6120957314330778,0.662237314364616,0.5,0.5,0.6576787807737398,0.47904191616766467,0.5755395683453237,0.522875816993464,0.697391304347826,0.3026086956521739,0.4244604316546763,0.5755395683453237,0.39155920281359907,8287.221570926144,320,348,802,236
temporal_2,temporal,race_blind,COMPAS tool,1706,0.32590855803048063,0.6364654363465749,0.34232121922626024,0.6120957314330778,0.662237314364616,break_even,0.2523364485981308,0.6576787807737398,0.47904191616766467,0.5755395683453237,0.522875816993464,0.697391304347826,0.3026086956521739,0.4244604316546763,0.5755395683453237,0.39155920281359907,8287.221570926144,320,348,802,236
